participant_id,derivative_path,pointer_blob_sha,annex_key,bytes,sha256,annex_hash_path,annex_location_log_blob_sha,annex_remote_metadata_blob_sha,present_nemar_s3,present_openneuro_s3_public,present_openneuro_source,s3_export_path,s3_version_id,bytes_acquired
sub-11,derivatives/crossdecoding/sub-11_task-touchdecoding_crossdecoding.mat,8c771f0d51e8521feb83dd921e563e5aac785ead,SHA256E-s2655549--8073c20d905ff2b4f3e56d89728136849f1b6f63002557e08df1232ded9df2a6.mat,2655549,8073c20d905ff2b4f3e56d89728136849f1b6f63002557e08df1232ded9df2a6,f1a/070,23fefbf7055404cd9ae8dced26cca144ef95c81e,e3015076af00622cc5ee865ea10df260a6707627,true,true,true,ds004563/derivatives/crossdecoding/sub-11_task-touchdecoding_crossdecoding.mat,V2qOXAeF7lRa5vJPOUjSvYDcGB4n5iwG,false
sub-12,derivatives/crossdecoding/sub-12_task-touchdecoding_crossdecoding.mat,3f6d0e7b01342b2581dfc9a9e5c6596d1b69e06e,SHA256E-s2738784--c4f25b4f16b4060dd3ad9923a9d44bd1b42b0244560b33c5405590e56c83f36a.mat,2738784,c4f25b4f16b4060dd3ad9923a9d44bd1b42b0244560b33c5405590e56c83f36a,548/1d5,732c1e6bc3a1c31c7e1875489e35e76466f29e4f,97331ec210cfbf368bac7d3c2a286301256f691b,true,true,true,ds004563/derivatives/crossdecoding/sub-12_task-touchdecoding_crossdecoding.mat,468qB.6oOMlOcVibZVFK1Hpj3SZ2yRpM,false
sub-13,derivatives/crossdecoding/sub-13_task-touchdecoding_crossdecoding.mat,cd781ab158cc552bc7dbe6cd3242d8601426f1ba,SHA256E-s2687251--71fd9f639646c42f333325b1882cef3f89e4863235f742be59b9a9c7a966d480.mat,2687251,71fd9f639646c42f333325b1882cef3f89e4863235f742be59b9a9c7a966d480,c2f/3c9,187c589484fb530f2a7e5efabf606ff6033001d1,da766169ecbbc9ef0cfa1f643fc5db0c46920e9e,true,true,true,ds004563/derivatives/crossdecoding/sub-13_task-touchdecoding_crossdecoding.mat,Q1LjujaJYfr6YS6x8MufR4.qQtElo26l,false
sub-14,derivatives/crossdecoding/sub-14_task-touchdecoding_crossdecoding.mat,edb06ddaa2fd4dd9eb5fbc3f12bcb47c4e6bda8e,SHA256E-s2713857--e4d3ac35119923927f78be3224b487b1fd535efc0d596e5a54d309a9095f32f6.mat,2713857,e4d3ac35119923927f78be3224b487b1fd535efc0d596e5a54d309a9095f32f6,2e7/58f,4751d54ceb9a3b9949a0c231ce724abcb5bd5af4,63e915008a8ad9ced2df16c4da6a10177c14ff22,true,true,true,ds004563/derivatives/crossdecoding/sub-14_task-touchdecoding_crossdecoding.mat,7ueRUH0J8iIQ8FVaybT6eXFg.t7EVSDN,false
sub-15,derivatives/crossdecoding/sub-15_task-touchdecoding_crossdecoding.mat,1643ac9e1f8c1072c41ccbf9f866a00a4ff1999c,SHA256E-s2728546--5914d105a79aacd49722f97e548ccd5c88940256337a6e635373fdac29fa4de4.mat,2728546,5914d105a79aacd49722f97e548ccd5c88940256337a6e635373fdac29fa4de4,b71/4eb,2b34753e7fa5b17cffe73e493edfa885e1af5c7a,c4b601ae071f5c5becd3ab4148202c772406482a,true,true,true,ds004563/derivatives/crossdecoding/sub-15_task-touchdecoding_crossdecoding.mat,Ih6cqWWcEnHTlHK.kj6d_rfzBfFFZeVd,false
sub-17,derivatives/crossdecoding/sub-17_task-touchdecoding_crossdecoding.mat,d70f5643afcd4af27f4aedecf3e1fb00625b0de6,SHA256E-s2697887--f7a9a8e312a4f290caf8b20665e28fc16b0273157677a63a54fb105fcd20ca9f.mat,2697887,f7a9a8e312a4f290caf8b20665e28fc16b0273157677a63a54fb105fcd20ca9f,d69/652,d7cb03f6007ee2a5e8083f9c3fb446cd6afa68bf,3dad0af8af174b3ac719c888cf4c61b323b60728,true,true,true,ds004563/derivatives/crossdecoding/sub-17_task-touchdecoding_crossdecoding.mat,p62iTv8UaMjE8GyLRjx9vH74Dt8dWK6w,false
sub-18,derivatives/crossdecoding/sub-18_task-touchdecoding_crossdecoding.mat,26a8cdbbfc3543e846573a98f1f4fe1cd2d39983,SHA256E-s2690446--e91a39b16ce5e2837c80115bbc76c32c40f3c3f80004cf928284cba16cfd923d.mat,2690446,e91a39b16ce5e2837c80115bbc76c32c40f3c3f80004cf928284cba16cfd923d,111/457,c36b49ba1c6b8f60a611497461895cd65eddc89f,8cb71c61baf1ff10374e0759ebda04b3fdfb2916,true,true,true,ds004563/derivatives/crossdecoding/sub-18_task-touchdecoding_crossdecoding.mat,Rfs1RBzJDMzpd3E3LGJvZ7jCKX0DMtLb,false
sub-19,derivatives/crossdecoding/sub-19_task-touchdecoding_crossdecoding.mat,9720cb6cf8dbd73888172f6f25947d2f5805a9dd,SHA256E-s2685205--a0a97cc53ad02d666a97e0a5c59f80f5a67fe5dde71a4f44521c14e980639e40.mat,2685205,a0a97cc53ad02d666a97e0a5c59f80f5a67fe5dde71a4f44521c14e980639e40,ebc/a8f,e7734e4a976d0883f6b12675f6d3e86838c90168,8f23736f73b985b2252f3da51e3b0473e9cf6f47,true,true,true,ds004563/derivatives/crossdecoding/sub-19_task-touchdecoding_crossdecoding.mat,GHe3shEO.RenlQ0.o1aVGiqcFqZRo001,false
sub-20,derivatives/crossdecoding/sub-20_task-touchdecoding_crossdecoding.mat,9dd31c0f02e3f427bc862bb4e8e82b6d1db74ef5,SHA256E-s2670669--a9f4080ea912972f4e4ee88cdb9b60a6ff0af4c7db3926d113bd5af1d6f493aa.mat,2670669,a9f4080ea912972f4e4ee88cdb9b60a6ff0af4c7db3926d113bd5af1d6f493aa,bcf/c6c,abdb3374540f85d7af7ee48bc287704f5121ede4,c005484b03e53a18414fc3ae2c162b79e29c5613,true,true,true,ds004563/derivatives/crossdecoding/sub-20_task-touchdecoding_crossdecoding.mat,0yoPP2InqwtSbgkfWKWWali_emmwyLpb,false
sub-21,derivatives/crossdecoding/sub-21_task-touchdecoding_crossdecoding.mat,cc126bff7668ad8911c87e16037d249417f8531f,SHA256E-s2649621--ad79a0f85f1d8b4f0f99722b85f7e1a51b9af40209e7f3e50a71d80b8f4f0680.mat,2649621,ad79a0f85f1d8b4f0f99722b85f7e1a51b9af40209e7f3e50a71d80b8f4f0680,ecb/e5a,f4591e1ea12c081c479de71d80b88fafe41367e5,3933e4a3a5b0e9c5078ae6f1f46f80195626acb8,true,true,true,ds004563/derivatives/crossdecoding/sub-21_task-touchdecoding_crossdecoding.mat,zkgT1O_bbf3eKCcLDpat7Hf56l7EgrjA,false
sub-22,derivatives/crossdecoding/sub-22_task-touchdecoding_crossdecoding.mat,3623d7db976be9b641e60d65236b4340fed339cc,SHA256E-s2742517--df9f9c21c1c622e1e5c9011ebf157864a69e2ece69dd95721537a5050fd47aa5.mat,2742517,df9f9c21c1c622e1e5c9011ebf157864a69e2ece69dd95721537a5050fd47aa5,203/477,ca1e53727af081bb0b5bcfe026ad21db07945391,c282f7a9d9dc9150f5c716543a9255765a18e384,true,true,true,ds004563/derivatives/crossdecoding/sub-22_task-touchdecoding_crossdecoding.mat,pQmKBbyUjiDKg1JRV5WGunHtuPGHRali,false
